hh_income,education,hh_lifeCycle,occupation_type,age,sex,hh_size,motif,resType
7,4,2,1,33,1,2,HWH,3
4,2,1,1,66,2,1,HWOH,2
7,2,2,1,32,1,3,HWH,8
3,2,10,1,27,2,3,HOOH,7
9,5,6,1,42,1,4,HWOWH,5
6,4,2,1,25,1,3,HWH,2
9,4,4,1,43,1,4,HWH,4
7,4,2,1,33,1,2,HWH,3
2,2,1,1,48,2,1,HWH,6
6,4,6,1,46,2,3,HWH,4
5,3,6,1,50,1,5,HWH,7
6,4,2,1,26,2,2,HOWH,4
6,4,2,1,25,1,3,HWH,2
7,3,8,1,19,2,4,HWOWH,4
8,3,4,1,35,2,7,HOOH,8
11,4,1,1,38,2,1,HWOWH,0
2,3,1,1,60,2,1,HWOH,0
8,4,2,1,54,2,2,HOH,5
8,2,2,1,64,2,2,HWH,2
6,4,1,1,28,1,1,HOOH,1
7,1,1,1,78,1,1,HOWH,8
7,2,2,1,32,1,3,HWH,8
7,2,2,1,32,1,3,HWH,8
7,2,1,1,49,2,1,HOWH,2
11,4,1,1,38,2,1,HWOWH,0
5,2,8,1,63,2,3,HWOWH,5
7,3,2,1,30,2,2,HOOH,2
8,4,10,1,59,1,2,HOH,5
9,4,4,1,30,1,3,HWH,5
3,2,6,1,21,2,6,HWH,6
6,4,1,1,39,1,1,HWOH,5
2,3,1,1,60,2,1,HWOH,0
8,4,2,1,54,2,2,HOH,5
8,4,8,1,57,1,3,HOOH,7
3,1,6,1,48,1,6,HWH,4
6,2,2,1,69,2,3,HWH,2
7,3,2,1,42,1,2,HWOH,4
7,4,2,1,33,1,2,HWH,3
10,2,8,1,55,1,3,HOWOH,8
8,3,4,1,35,2,7,HOOH,8
8,4,8,1,57,1,3,HOOH,7
6,2,2,1,69,2,3,HWH,2
11,4,1,1,38,2,1,HWOWH,0
6,4,10,1,61,1,3,HOWH,3
8,2,2,1,64,2,2,HWH,2
6,5,6,1,44,2,3,HOOH,7
5,3,6,1,50,1,5,HWH,7
8,5,5,1,42,1,3,HWWH,5
2,2,1,1,48,2,1,HWH,6
2,2,6,1,19,1,5,HWH,6
